Het. prot. mass fraction,Growth rate [1/h],relative_growth_rate,Source
0.002510631,1.009638554,1,"Bentley et al., 1990"
0.074464918,0.828915663,0.821002387,"Bentley et al., 1990"
0.099840539,0.73253012,0.725536993,"Bentley et al., 1990"
0.184216867,0.58313253,0.577565632,"Bentley et al., 1990"
0.038198086,0.787951807,1,"Dong et al., 1995"
0.038160879,0.771084337,0.978593272,"Dong et al., 1995"
0.05051382,0.771084337,0.978593272,"Dong et al., 1995"
0.047898653,0.785542169,0.996941896,"Dong et al., 1995"
0.056599929,0.730120482,0.926605505,"Dong et al., 1995"
0.068123671,0.754216867,0.957186544,"Dong et al., 1995"
0.093467399,0.643373494,0.816513761,"Dong et al., 1995"
0.147290928,0.643373494,0.816513761,"Dong et al., 1995"
0.197436215,0.575903614,0.73088685,"Dong et al., 1995"
0.177019844,0.520481928,0.660550459,"Dong et al., 1995"
0.162827782,0.486746988,0.617737003,"Dong et al., 1995"
0.188192771,0.385542169,0.489296636,"Dong et al., 1995"
0.218777463,0.25060241,0.318042813,"Dong et al., 1995"
0.228759745,0.375903614,0.47706422,"Dong et al., 1995"
0.241102055,0.371084337,0.470948012,"Dong et al., 1995"
0.274434798,0.281927711,0.357798165,"Dong et al., 1995"
0.257234231,0.084337349,0.107033639,"Dong et al., 1995"
0.277496456,0.069879518,0.088685015,"Dong et al., 1995"
0.289886605,0.086746988,0.110091743,"Dong et al., 1995"
0.302117293,0.031325301,0.039755352,"Dong et al., 1995"
0.019934444,0.908433735,1,"Dong et al., 1995"
0.032287385,0.908433735,1,"Dong et al., 1995"
0.029608434,0.893975904,0.984084881,"Dong et al., 1995"
0.029581857,0.881927711,0.970822281,"Dong et al., 1995"
0.041079022,0.893975904,0.984084881,"Dong et al., 1995"
0.048068746,0.862650602,0.949602122,"Dong et al., 1995"
0.092919915,0.795180723,0.875331565,"Dong et al., 1995"
0.163997165,0.61686747,0.679045093,"Dong et al., 1995"
0.163093551,0.607228916,0.668435013,"Dong et al., 1995"
0.177057052,0.537349398,0.591511936,"Dong et al., 1995"
0.250712261,0.327710843,0.360742706,"Dong et al., 1995"
0.271553863,0.175903614,0.193633952,"Dong et al., 1995"
0.280366761,0.171084337,0.188328912,"Dong et al., 1995"
0.296020553,0.06746988,0.074270557,"Dong et al., 1995"
0.011205508,1.746376812,1,"Scott et al., 2010"
0.027341885,1.785024155,1.022130014,"Scott et al., 2010"
0.010006108,1.702898551,0.975103734,"Scott et al., 2010"
0.043128436,1.519323671,0.869986169,"Scott et al., 2010"
0.121972347,1.11352657,0.637621024,"Scott et al., 2010"
0.140329835,1.084541063,0.621023513,"Scott et al., 2010"
0.172397135,0.983091787,0.562932227,"Scott et al., 2010"
0.180265423,0.828502415,0.474412172,"Scott et al., 2010"
0.205536121,0.814009662,0.466113416,"Scott et al., 2010"
0.249108779,0.722222222,0.413554633,"Scott et al., 2010"
0.262818591,0.649758454,0.372060858,"Scott et al., 2010"
0.192675884,0.625603865,0.358229599,"Scott et al., 2010"
0.01025043,0.915458937,1,"Scott et al., 2010"
0.030840135,0.828502415,0.905013193,"Scott et al., 2010"
0.046920984,0.81884058,0.894459103,"Scott et al., 2010"
0.187906047,0.475845411,0.519788918,"Scott et al., 2010"
0.198073186,0.321256039,0.350923483,"Scott et al., 2010"
0.266960964,0.253623188,0.277044855,"Scott et al., 2010"
0.320922872,0.200483092,0.218997361,"Scott et al., 2010"
0.011072242,0.630434783,1,"Scott et al., 2010"
0.011005608,0.572463768,0.908045977,"Scott et al., 2010"
0.042056749,0.586956522,0.931034483,"Scott et al., 2010"
0.074174024,0.528985507,0.83908046,"Scott et al., 2010"
0.101604753,0.393719807,0.624521073,"Scott et al., 2010"
0.152023988,0.258454106,0.409961686,"Scott et al., 2010"
0.16255761,0.422705314,0.670498084,"Scott et al., 2010"
0.229052141,0.27294686,0.432950192,"Scott et al., 2010"
0.24281748,0.248792271,0.394636015,"Scott et al., 2010"
0,1.143103448,1,"Basan et al., 2015"
0.033656958,1.029745564,0.900833224,"Basan et al., 2015"
0.056957929,0.988667559,0.864897714,"Basan et al., 2015"
0.069902913,0.942283227,0.824320169,"Basan et al., 2015"
0.103559871,0.880649481,0.770402261,"Basan et al., 2015"
0.137216828,0.83970539,0.734583901,"Basan et al., 2015"
0.119093851,0.777402076,0.680080247,"Basan et al., 2015"
0,0.972430532,1,"Basan et al., 2015"
0.028478964,0.890023435,0.915256571,"Basan et al., 2015"
0.037540453,0.900485437,0.926015183,"Basan et al., 2015"
0.051779935,0.84894543,0.87301396,"Basan et al., 2015"
0.073786408,0.807850686,0.830754136,"Basan et al., 2015"
0.084142395,0.797639772,0.820253731,"Basan et al., 2015"
0.099676375,0.720254436,0.740674436,"Basan et al., 2015"
0.108737864,0.72037161,0.740794932,"Basan et al., 2015"
0.124271845,0.689537998,0.709087153,"Basan et al., 2015"
0.133333333,0.65862069,0.677293306,"Basan et al., 2015"
0.164401294,0.622815534,0.640473035,"Basan et al., 2015"
0.230420712,0.442634751,0.455183929,"Basan et al., 2015"
0,0.905172414,1,"Basan et al., 2015"
0.031067961,0.843505189,0.931872399,"Basan et al., 2015"
0.054368932,0.807599598,0.89220527,"Basan et al., 2015"
0.081553398,0.761399397,0.841165049,"Basan et al., 2015"
0.089320388,0.699430867,0.772704577,"Basan et al., 2015"
0.111326861,0.642818882,0.710161812,"Basan et al., 2015"
0.12815534,0.601657181,0.664687933,"Basan et al., 2015"
0,0.868965517,1,"Basan et al., 2015"
0.038834951,0.7970539,0.917244568,"Basan et al., 2015"
0.056957929,0.750736525,0.863942826,"Basan et al., 2015"
0.0802589,0.66827921,0.769051472,"Basan et al., 2015"
0.122977346,0.596417811,0.68635383,"Basan et al., 2015"
0.186407767,0.529996652,0.609916782,"Basan et al., 2015"
0.187702265,0.483461667,0.556364617,"Basan et al., 2015"
0,0.547107246,1,"Bentley et al., 1990"
0.1328,0.446608696,0.816309231,"Bentley et al., 1990"
0.2112,0.393298551,0.718869204,"Bentley et al., 1990"
0.2304,0.300266667,0.548825973,"Bentley et al., 1990"
0.4,0.228243478,0.417182334,"Bentley et al., 1990"
0,1.294933333,1,"Bentley et al., 1990"
0.0528,1.178202899,0.909856028,"Bentley et al., 1990"
0.0768,1.114086957,0.860343099,"Bentley et al., 1990"
0.1248,1.009043478,0.779224268,"Bentley et al., 1990"
0.1792,0.892313043,0.689080295,"Bentley et al., 1990"
